통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080709,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080710,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080711,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080712,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080713,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080714,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080715,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080716,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080717,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080718,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080719,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080720,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080721,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080722,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080723,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080724,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080725,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080726,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080727,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080728,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080729,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080730,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080731,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080801,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080802,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080803,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080804,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080805,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080806,5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080807,5.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080808,5.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080809,5.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080810,5.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080811,5.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080812,5.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080813,5.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,20080814,5.25
